Year,Month,Avg Temp [°C]
2019,1,-3.0691176470588233
2019,2,1.8850746268656715
2019,3,4.737878787878787
2019,4,8.734848484848484
2019,5,11.668181818181818
2019,6,20.84375
2019,7,18.0796875
2019,8,18.996923076923075
2019,9,13.167692307692308
2019,10,9.652307692307692
2019,11,5.936507936507937
2019,12,2.2125
2020,1,0.9222222222222223
2020,2,2.8746031746031746
2020,3,3.579032258064516
2020,4,7.852459016393443
2020,5,10.452459016393442
2020,6,17.475806451612904
2020,7,17.904838709677417
2020,8,19.0
2020,9,14.057377049180328
2020,10,9.603333333333333
2020,11,4.4766666666666675
2020,12,1.2483333333333335
2021,1,-1.7824561403508772
2021,2,-2.1543859649122807
2021,3,2.223728813559322
2021,4,5.575862068965517
2021,5,11.700000000000001
2021,6,18.659322033898306
2021,7,20.61864406779661
2021,8,16.361016949152543
2021,9,12.730508474576272
2021,10,7.944067796610169
2021,11,4.349152542372882
2021,12,-1.553448275862069
2022,1,-0.21428571428571427
2022,2,2.2145454545454544
2022,3,1.8315789473684212
2022,4,5.955357142857143
2022,5,13.21578947368421
2022,6,18.489285714285717
2022,7,18.594736842105263
2022,8,19.636842105263156
2022,9,11.434545454545454
2022,10,10.156363636363636
2022,11,3.5653846153846156
2022,12,-0.07307692307692307
2023,1,2.082692307692308
2023,2,0.37884615384615383
2023,3,3.8442307692307693
2023,4,7.065384615384615
2023,5,12.15
2023,6,17.042307692307695
2023,7,19.12156862745098
